user_id,order_id,Date,Amount,Merchant_id,Purchase_status,Rate_pct,Merchant_name,Revenue,Month,weekday,User_id,Age,Gender,Location,First_tran_date,tran_month,first_tran_month,Type_user
21269588,4169517626,2020-01-01,10000,13,,3,Mobifone,300.0,2020-01,Wednesday,21269588,>37,Female,HN,2018-12-11,2020-01,2018-12,Current
28097592,4170276686,2020-01-01,20000,13,,3,Mobifone,600.0,2020-01,Wednesday,28097592,>37,Female,HN,2019-12-30,2020-01,2019-12,Current
47435144,4166729310,2020-01-01,10000,12,,2,Viettel,200.0,2020-01,Wednesday,47435144,18_to_22,Female,HN,2019-11-11,2020-01,2019-11,Current
29080935,4174460303,2020-01-01,10000,13,,3,Mobifone,300.0,2020-01,Wednesday,29080935,18_to_22,Female,HN,2019-10-24,2020-01,2019-10,Current
14591075,4168216749,2020-01-01,10000,12,,2,Viettel,200.0,2020-01,Wednesday,14591075,18_to_22,Female,Other,2019-12-28,2020-01,2019-12,Current
43155015,4171808289,2020-01-01,10000,12,,2,Viettel,200.0,2020-01,Wednesday,43155015,18_to_22,Female,HN,2019-11-21,2020-01,2019-11,Current
50568745,4168401164,2020-01-01,10000,13,,3,Mobifone,300.0,2020-01,Wednesday,50568745,23_to_27,Female,Other,2019-11-07,2020-01,2019-11,Current
38802645,4167009272,2020-01-01,20000,12,,2,Viettel,400.0,2020-01,Wednesday,38802645,23_to_27,Female,Other,2019-12-29,2020-01,2019-12,Current
28698657,4166562735,2020-01-01,10000,15,,4,Vietnamobile,400.0,2020-01,Wednesday,28698657,23_to_27,Female,Other,2016-11-27,2020-01,2016-11,Current
42557469,4168300611,2020-01-01,50000,12,,2,Viettel,1000.0,2020-01,Wednesday,42557469,23_to_27,Female,HN,2019-04-20,2020-01,2019-04,Current
45179287,4172775542,2020-01-01,30000,12,,2,Viettel,600.0,2020-01,Wednesday,45179287,23_to_27,Female,Other,2019-01-24,2020-01,2019-01,Current
49801960,4173144327,2020-01-01,10000,14,,4,Vinaphone,400.0,2020-01,Wednesday,49801960,23_to_27,Female,Other,2019-12-18,2020-01,2019-12,Current
48442020,4172250872,2020-01-01,50000,14,,4,Vinaphone,2000.0,2020-01,Wednesday,48442020,23_to_27,Female,HN,2019-08-01,2020-01,2019-08,Current
36845154,4172898831,2020-01-01,50000,12,,2,Viettel,1000.0,2020-01,Wednesday,36845154,23_to_27,Female,Other,2019-04-28,2020-01,2019-04,Current
42275799,4174262889,2020-01-01,50000,13,,3,Mobifone,1500.0,2020-01,Wednesday,42275799,28_to_32,Female,HN,2019-10-18,2020-01,2019-10,Current
36313144,4170080390,2020-01-01,30000,14,,4,Vinaphone,1200.0,2020-01,Wednesday,36313144,28_to_32,Female,HCMC,2018-04-18,2020-01,2018-04,Current
50912625,4169639519,2020-01-01,30000,13,,3,Mobifone,900.0,2020-01,Wednesday,50912625,28_to_32,Female,HCMC,2019-11-21,2020-01,2019-11,Current
15602866,4172907480,2020-01-01,50000,13,,3,Mobifone,1500.0,2020-01,Wednesday,15602866,28_to_32,Female,HCMC,2019-11-09,2020-01,2019-11,Current
20016834,4168541794,2020-01-01,50000,13,Mua hộ,3,Mobifone,1500.0,2020-01,Wednesday,20016834,>37,Male,HCMC,2018-05-23,2020-01,2018-05,Current
35501803,4173353083,2020-01-01,100000,13,Mua hộ,3,Mobifone,3000.0,2020-01,Wednesday,35501803,>37,Female,HCMC,2019-07-03,2020-01,2019-07,Current
31031180,4173831250,2020-01-01,50000,13,Mua hộ,3,Mobifone,1500.0,2020-01,Wednesday,31031180,23_to_27,Male,Other,2019-05-30,2020-01,2019-05,Current
29638368,4170342010,2020-01-01,100000,12,Mua hộ,2,Viettel,2000.0,2020-01,Wednesday,29638368,23_to_27,Female,Other,2019-03-06,2020-01,2019-03,Current
26273764,4168184448,2020-01-01,200000,14,Mua hộ,4,Vinaphone,8000.0,2020-01,Wednesday,26273764,33_to_37,Female,HCMC,2019-10-29,2020-01,2019-10,Current
32556798,4173098103,2020-01-01,100000,13,Mua hộ,3,Mobifone,3000.0,2020-01,Wednesday,32556798,28_to_32,Male,HCMC,2017-05-11,2020-01,2017-05,Current
41450353,4172714338,2020-01-01,100000,12,Mua hộ,2,Viettel,2000.0,2020-01,Wednesday,41450353,unknown,Male,Other,2018-03-30,2020-01,2018-03,Current
41427375,4174362033,2020-01-01,200000,12,Mua hộ,2,Viettel,4000.0,2020-01,Wednesday,41427375,23_to_27,Female,HCMC,2018-04-04,2020-01,2018-04,Current
20770193,4171611019,2020-01-01,500000,13,Mua hộ,3,Mobifone,15000.0,2020-01,Wednesday,20770193,28_to_32,Male,Other,2018-02-01,2020-01,2018-02,Current
38568294,4177585867,2020-01-02,10000,13,,3,Mobifone,300.0,2020-01,Thursday,38568294,23_to_27,Female,HN,2018-10-30,2020-01,2018-10,Current
42823224,4177578804,2020-01-02,10000,13,,3,Mobifone,300.0,2020-01,Thursday,42823224,23_to_27,Female,HN,2018-09-25,2020-01,2018-09,Current
14918070,4175600541,2020-01-02,10000,12,,2,Viettel,200.0,2020-01,Thursday,14918070,>37,Female,HN,2019-03-19,2020-01,2019-03,Current
50111941,4179472145,2020-01-02,20000,12,,2,Viettel,400.0,2020-01,Thursday,50111941,18_to_22,Female,HCMC,2019-11-01,2020-01,2019-11,Current
45570169,4175467760,2020-01-02,20000,12,,2,Viettel,400.0,2020-01,Thursday,45570169,23_to_27,Female,HN,2019-02-22,2020-01,2019-02,Current
