user_id,first_tran_date,location,age,gender
41654498,2018-05-02,HCMC,33_to_37,Male
51276281,2019-12-08,Other,unknown,Male
49152375,2019-12-20,Other,23_to_27,Male
5971050,2019-08-01,HCMC,28_to_32,Male
48134464,2019-08-23,Other,18_to_22,Female
56702663,2020-08-08,Other,unknown,Male
53564527,2020-02-16,Other,unknown,Male
40659574,2017-12-28,Other,28_to_32,Male
7571525,2018-04-20,HCMC,33_to_37,Male
28716109,2019-12-17,Other,33_to_37,Female
52262649,2020-02-28,Other,18_to_22,Male
50364707,2020-10-30,Other,>37,Female
44955538,2019-12-29,Other,23_to_27,Male
49656477,2019-09-30,HN,18_to_22,Female
40377991,2019-07-31,HCMC,28_to_32,Female
38339976,2019-12-09,Unknown,unknown,Female
56455857,2020-06-12,Other,28_to_32,Male
41105181,2018-02-26,Other,unknown,Female
32944662,2020-01-07,HCMC,>37,Male
51644804,2019-12-23,HCMC,unknown,Female
42849872,2018-08-29,Other,28_to_32,Male
48141028,2019-07-31,HN,33_to_37,Male
16919520,2019-07-27,Other,>37,Male
53902640,2020-10-31,HN,unknown,Male
44755286,2019-01-01,HCMC,23_to_27,Male
39573887,2017-11-11,Unknown,23_to_27,Male
50511957,2019-12-10,HCMC,33_to_37,Female
43953676,2018-10-27,HN,>37,Female
36641091,2020-01-29,Other,28_to_32,Male
46719926,2020-07-13,Other,unknown,Male
34898020,2020-08-18,Other,28_to_32,Male
54869084,2020-04-06,HCMC,33_to_37,Male
46222540,2019-03-08,HCMC,unknown,Male
33064659,2018-08-22,HCMC,23_to_27,Female
45465092,2019-03-18,HCMC,33_to_37,Male
46148297,2019-03-02,HN,18_to_22,Male
47511343,2019-06-05,HN,33_to_37,Male
27064260,2017-04-14,Other,23_to_27,Male
46099758,2020-07-20,Other,33_to_37,Male
42916049,2018-08-29,Unknown,unknown,Female
31363288,2019-03-13,Other,28_to_32,Male
424219,2019-09-07,HCMC,33_to_37,Male
37609169,2019-12-30,Other,23_to_27,Female
51112619,2019-11-26,Other,28_to_32,Male
1013691,2020-01-24,HCMC,28_to_32,Female
44080459,2020-05-15,Other,18_to_22,Female
50210662,2019-10-25,Unknown,unknown,Male
14152743,2020-05-18,Other,unknown,Male
57196579,2020-08-06,Unknown,23_to_27,Female
46061342,2019-02-25,HN,28_to_32,Male
42909491,2019-04-06,HCMC,23_to_27,Male
48315976,2019-09-16,Other,23_to_27,Female
40481531,2019-09-21,Other,unknown,Male
1686941,2018-09-26,Other,unknown,Female
41790765,2019-04-01,HCMC,23_to_27,Female
7465349,2019-12-24,Other,unknown,Male
49525979,2019-12-06,HCMC,33_to_37,Male
16005641,2018-03-19,HN,23_to_27,Male
46043163,2019-03-26,Other,23_to_27,Male
46473231,2019-03-25,HCMC,>37,Male
40679826,2019-04-22,HN,33_to_37,Male
51960706,2020-01-15,HN,33_to_37,Male
43458853,2019-02-09,HCMC,28_to_32,Female
41833303,2018-09-14,Other,23_to_27,Male
13731983,2020-01-04,Other,23_to_27,Male
56189805,2020-05-31,HCMC,33_to_37,Male
39339167,2020-09-16,HCMC,>37,Male
35187891,2018-12-13,Other,>37,Female
39716472,2017-08-11,HCMC,23_to_27,Female
57514226,2020-07-30,Unknown,unknown,Male
51808451,2019-12-18,Other,unknown,Female
34090243,2019-12-05,Other,23_to_27,Male
36873642,2016-12-21,HN,33_to_37,Male
39512354,2019-09-28,Other,23_to_27,Female
46915665,2019-12-18,Other,23_to_27,Male
56138338,2020-05-25,HN,23_to_27,Male
53516195,2020-02-23,Other,28_to_32,Male
43149762,2019-04-08,HCMC,23_to_27,Female
54986025,2020-04-02,Other,unknown,Male
54172176,2020-03-12,Other,23_to_27,Male
41333879,2019-10-09,Other,23_to_27,Female
35140693,2020-04-23,Other,unknown,Female
50561258,2019-12-19,Other,18_to_22,Female
49816986,2020-02-19,Other,unknown,Male
26735231,2018-01-08,Other,33_to_37,Male
57936566,2020-09-09,Other,33_to_37,Male
52107729,2020-01-09,HCMC,>37,Male
45128349,2019-12-14,Other,unknown,Male
48398313,2019-12-11,HCMC,>37,Female
58534913,2020-11-22,HN,unknown,Male
48091205,2019-07-11,Other,28_to_32,Male
32713179,2020-08-13,Unknown,18_to_22,Female
